	Kingdom	Phyla	Class	Order	Family	Genus	Species	Kingdom_Eukaryome	Phylum_Eukaryome	Class_Eukaryome	Order_Eukaryome	Family_Eukaryome	Genus_Eukaryome	Species_Eukaryome
Taxa_1	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	NA	NA	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	NA
Taxa_2	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Kernia	columnaris	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scedosporium	NA
Taxa_3	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	alkalinus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Tulosesus	NA
Taxa_6	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	ruber	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	umbrosus
Taxa_7	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	herbarum	Fungi	Ascomycota	Dothideomycetes	Dothideales	Cladosporiaceae	Cladosporium	NA
Taxa_8	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	radiatolobatum
Taxa_11	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	furfuraceus	Fungi	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	NA
Taxa_12	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	jirovecii	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	oleaginosum
Taxa_22	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	radiata	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	NA
Taxa_27	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Kernia	geniculotricha	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scedosporium	NA
Taxa_35	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Subbaromyces	splendens	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_36	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	thomii
Taxa_41	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	variasi	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Neocosmospora	NA
Taxa_46	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	caroliniana	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	NA
Taxa_50	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	restricta	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	restricta
Taxa_53	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	cinerea	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	NA
Taxa_54	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	oxysporum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	zeae
Taxa_61	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	solani	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	yali.inficiens
Taxa_62	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Scutellinia	NA	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Scutellinia	vitreola
Taxa_67	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	equiseti	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	intricans
Taxa_68	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Iodophanus	testaceus	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Iodophanus	testaceus
Taxa_80	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Enterocarpus	grenotii	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Lophotrichus	NA
Taxa_82	Fungi	NA	NA	NA	NA	NA	NA	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Pannariaceae	Pectenia	NA
Taxa_85	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA	Fungi	NA	NA	NA	NA	NA	NA
Taxa_95	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	semitalis	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	cf.narcotica
Taxa_128	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	pullulans	Fungi	Ascomycota	Dothideomycetes	Dothideales	Saccotheciaceae	Aureobasidium	NA
Taxa_129	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Scutellinia	macrospora	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Scutellinia	vitreola
Taxa_136	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	vesiculosa	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	NA	NA
Taxa_144	Fungi	Ascomycota	Dothideomycetes	Dothideomycetes_ord_Incertae_sedis	Dothideomycetes_fam_Incertae_sedis	Monodictys	castaneae	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	NA
Taxa_149	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	thomii
Taxa_158	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	NA	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	radicis
Taxa_173	Fungi	NA	NA	NA	NA	NA	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_175	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	ampulliella	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Humicola	cuyabenoensis
Taxa_186	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA	Fungi	NA	NA	NA	NA	NA	NA
Taxa_190	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA	Fungi	Ascomycota	Sordariomycetes	Sordariales	Bombardiaceae	Ramophialophora	NA
Taxa_205	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	NA	Fungi	Ascomycota	Sordariomycetes	Sordariales	Neoschizotheciaceae	NA	NA
Taxa_207	Fungi	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	halotolerans	Fungi	Ascomycota	Dothideomycetes	Dothideales	Cladosporiaceae	Cladosporium	NA
Taxa_212	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Sodiomyces	NA	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	NA	NA
Taxa_240	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	Pseudocoleophoma	NA	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	NA	NA
Taxa_252	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Pilobolaceae	Pilobolus	kleinii	Fungi	Basidiomycota	NA	NA	NA	NA	NA
Taxa_254	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	NA	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	globosa
Taxa_259	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Phoma	NA
Taxa_273	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	paneum	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	allii
Taxa_308	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	xanthothrix	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	flocculosus
Taxa_315	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA	Fungi	Ascomycota	Sordariomycetes	Sordariales	Bombardiaceae	Ramophialophora	NA
Taxa_319	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	NA	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Trichoderma	koningii
Taxa_321	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA	Fungi	Ascomycota	Sordariomycetes	Sordariales	Bombardiaceae	Ramophialophora	NA
Taxa_323	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	loeiensis	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	NA
Taxa_328	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascales_fam_Incertae_sedis	Microascales_gen_Incertae_sedis	NA	Fungi	NA	NA	NA	NA	NA	NA
Taxa_336	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	pseudonivea	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	nivea
Taxa_343	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon	ovoides	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Trichosporon	asahii.var.asahii
Taxa_349	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scopulariopsis	candida	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	NA	NA
Taxa_350	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Stachybotrys	chartarum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Stachybotryaceae	Memnoniella	NA
Taxa_356	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	NA	NA	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Neocallimastix	californiae
Taxa_357	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Arthrobotrys	flagrans	Fungi	Ascomycota	Orbiliomycetes	Orbiliales	Orbiliaceae	Arthrobotrys	amerosporus
Taxa_369	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Microascaceae_gen_Incertae_sedis	NA	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scedosporium	NA
Taxa_398	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	grande	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	NA
Taxa_403	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Phialophora	cyclaminis	Fungi	Ascomycota	Sordariomycetes	Sordariales	Bombardiaceae	Ramophialophora	NA
Taxa_407	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	brevisetulosus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Tulosesus	NA
Taxa_420	Fungi	NA	NA	NA	NA	NA	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_425	Fungi	NA	NA	NA	NA	NA	NA	Fungi	Ascomycota	NA	NA	NA	NA	NA
Taxa_444	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	NA	NA
Taxa_451	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Geotrichum	candidum	Fungi	Ascomycota	Dipodascomycetes	Dipodascales	Dipodascaceae	Dipodascus	geotrichum
Taxa_544	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizales_fam_Incertae_sedis	Boubovia	NA	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizales_fam_incertae_sedis	Boubovia	NA
Taxa_559	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	loeiensis	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Beauveria	NA
Taxa_563	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Triangularia	unicaudata	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Triangularia	verruculosa
Taxa_566	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	alkalinus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Tulosesus	NA
Taxa_570	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Kernia	columnaris	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scedosporium	NA
Taxa_573	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	NA	NA	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	NA
Taxa_583	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Pithoascus	nidicola	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	NA	NA
Taxa_596	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	citreonigrum
Taxa_630	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Alternaria	carotiincultae	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Ulocladium	NA
Taxa_631	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	variasi	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Neocosmospora	NA
Taxa_648	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	dimennae	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	globispora
Taxa_663	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Kernia	geniculotricha	Fungi	Ascomycota	Sordariomycetes	Microascales	Microascaceae	Scedosporium	NA
Taxa_677	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Chrysosporium	carmichaelii	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Myriodontium	NA
Taxa_679	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	grande	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	NA
Taxa_694	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	NA	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Pannariaceae	Pectenia	NA
Taxa_705	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	buharicum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	rhizicola
Taxa_711	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Iodophanus	NA	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Iodophanus	NA
Taxa_740	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	swiecickii
Taxa_765	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	NA	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Tulosesus	NA
Taxa_766	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	floriforme	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	floriforme
Taxa_769	Fungi	Ascomycota	Sordariomycetes	Cephalothecales	Cephalothecaceae	Phialemonium	inflatum	Fungi	Ascomycota	Sordariomycetes	Cephalothecales	Cephalothecaceae	Phialemonium	sulfureum
Taxa_775	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	NA	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	NA
Taxa_787	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Chrysosporium	lobatum	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Chrysosporium	lobatum
Taxa_798	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	NA	NA	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Neocallimastix	californiae
Taxa_809	Fungi	NA	NA	NA	NA	NA	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_821	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Neocallimastigaceae_gen_Incertae_sedis	NA	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Neocallimastix	californiae
Taxa_832	Fungi	Mucoromycota	Mucoromycetes	Mucorales	Pilobolaceae	Pilobolus	kleinii	Fungi	Basidiomycota	NA	NA	NA	NA	NA
Taxa_834	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	NA	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	NA
Taxa_836	Fungi	Fungi_phy_Incertae_sedis	Fungi_cls_Incertae_sedis	Fungi_ord_Incertae_sedis	Fungi_fam_Incertae_sedis	Fungi_gen_Incertae_sedis	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_856	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinellus	alkalinus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Tulosesus	NA
Taxa_874	Fungi	Chytridiomycota	Chytridiomycota_cls_Incertae_sedis	Chytridiomycota_ord_Incertae_sedis	Chytridiomycota_fam_Incertae_sedis	Chytridiomycota_gen_Incertae_sedis	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_914	Fungi	Ascomycota	Sordariomycetes	Sordariales	NA	NA	NA	Fungi	Ascomycota	Sordariomycetes	Sordariales	Podosporaceae	Podospora	NA
Taxa_959	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Chrysosporium	carmichaelii	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Myriodontium	NA
Taxa_967	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	victoriae	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	NA
Taxa_1020	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	tricinctum	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	tricinctum
Taxa_1097	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_Incertae_sedis	Symmetrosporaceae	Symmetrospora	coprosmae	Fungi	Basidiomycota	Cystobasidiomycetes	Cystobasidiomycetes_ord_incertae_sedis	Symmetrosporaceae	Symmetrospora	coprosmae
Taxa_1130	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Neocallimastix	frontalis	Fungi	Neocallimastigomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Neocallimastix	californiae
